service_id,date,exception_type
246073024607364,20250227,1
246074524607501,20250310,1
246071624607367,20250216,1
246075824607645,20250328,1
246075124607643,20250319,1
246075124607643,20250326,1
246075124607645,20250328,1
246071524607646,20250215,1
246071524607646,20250301,1
246071524607646,20250329,1
246071024607133,20250205,1
246071024607134,20250206,1
246073124607591,20250303,1
246073124607591,20250317,1
246073224607622,20250225,1
246073224607622,20250311,1
246072224607996,20250329,1
246072324607937,20250406,1
246071824607952,20250401,1
246071924607753,20250212,1
246071924607753,20250305,1
246071924607753,20250319,1
246072024607764,20250220,1
246072124607985,20250307,1
246072124607985,20250328,1
246072124607985,20250404,1
246072124607985,20250502,1
246072424607941,20250317,1
246072424607941,20250421,1
246071824607742,20250211,1
246071824607742,20250401,1
246072024607974,20250320,1
246071624607587,20250209,1
246071624607587,20250216,1
246071624607587,20250302,1
246073624607646,20250301,1
246073624607646,20250329,1
246071524607576,20250308,1
246072324607587,20250223,1
246073024607646,20250329,1
246074424607647,20250316,1
246073024607641,20250224,1
246073024607643,20250305,1
246073024607645,20250307,1
246071624607644,20250227,1
246071624607645,20250307,1
246071624607646,20250308,1
246071624607647,20250316,1
246071624607643,20250319,1
246071424607646,20250215,1
246071424607645,20250307,1
246071424607646,20250308,1
246071624607207,20250209,1
246073024607622,20250225,1
246073024607623,20250312,1
246073024607622,20250318,1
246073024607627,20250323,1
246071124607213,20250212,1
246071124607215,20250214,1
246071624607657,20250302,1
246071624607657,20250316,1
246072624607263,20250219,1
246072424607252,20250218,1
