from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246071524607646+1160021+0,246073624607366+1163871+0,1,
33,33,,,246071024607202+1160058+0,246071024607202+1159578+0,1,
33,33,,,246073124607624+1160058+0,246073124607624+1159578+0,1,
33,33,,,246071024607204+1160242+0,246071024607204+1159590+0,1,
33,33,,,246073124607624+1160242+0,246073124607624+1159590+0,1,
33,33,,,246073124607622+1160246+0,246073124607622+1159594+0,1,
33,33,,,246071024607204+1160248+0,246071024607204+1159598+0,1,
33,33,,,246073124607622+1160248+0,246073124607622+1159598+0,1,
33,33,,,246071024607204+1160252+0,246071024607134+1161221+0,1,
33,33,,,246072524607272+1160257+0,246072624607273+1159609+0,1,
33,33,,,246073124607623+1160257+0,246073224607624+1159609+0,1,
33,33,,,246073124607624+1160257+0,246071424607635+1159610+0,1,
33,33,,,246075124607587+1164328+0,246073024607587+1159728+0,1,
33,33,,,246072324607237+1164329+0,246072324607237+1159729+0,1,
33,33,,,246075024607576+1164337+0,246071524607646+1159727+0,1,
33,33,,,246073624607366+1164357+0,246073624607366+1163913+0,1,
33,33,,,246074424607447+1164360+0,246073024607587+1163909+0,1,
33,33,,,246076424607646+1164377+0,246071524607646+1159749+0,1,
33,33,,,246071624607167+1164378+0,246071624607167+1159750+0,1,
33,33,,,246072324607237+1164406+0,246072324607237+1163952+0,1,
33,33,,,246075124607517+1164439+0,246073024607587+1159776+0,1,
33,33,,,246073024607307+1164443+0,246073024607587+1159776+0,1,
33,33,,,246073624607366+1164444+0,246071524607646+1159775+0,1,
33,33,,,246075724607576+1164449+0,246071524607646+1159775+0,1,
33,33,,,246073624607366+1164509+0,246073624607366+1163715+0,1,
33,33,,,246074324607436+1164511+0,246074324607436+1163721+0,1,
33,33,,,246072324607237+1164533+0,246072324607237+1164023+0,1,
33,33,,,246072924607296+1164535+0,246072924607296+1164025+0,1,
33,33,,,246075024607506+1164568+0,246075024607576+1164066+0,1,
33,33,,,246072424607241+1164593+0,246072424607241+1164094+0,1,
33,33,,,246072924607296+1164594+0,246072924607296+1164095+0,1,
33,33,,,246072924607296+1164642+0,246072924607296+1163735+0,1,
33,33,,,246073624607366+1164644+0,246073624607366+1163731+0,1,
33,33,,,246076424607646+1164652+0,246075024607646+1163731+0,1,
33,33,,,246074424607447+1164686+0,246073024607587+1161421+0,1,
33,33,,,246074424607447+1164714+0,246074424607447+1164152+0,1,
33,33,,,246075024607506+1164715+0,246075024607576+1164153+0,1,
33,33,,,246076424607646+1164761+0,246076424607646+1164208+0,1,
33,33,,,246071624607167+1164762+0,246071624607167+1164209+0,1,
33,33,,,246076424607646+1164787+0,246075024607646+1164239+0,1,
33,33,,,246072324607237+1164789+0,246072324607237+1164241+0,1,
33,33,,,246074424607447+1164837+0,246074424607447+1162743+0,1,
33,33,,,246072524607273+1159619+0,246072524607273+1159445+1,1,
33,33,,,246072524607272+1159625+1,246072524607272+1159457+1,1,
33,33,,,246072524607274+1159625+1,246072524607274+1159457+1,1,
33,33,,,246073124607623+1159625+1,246073124607623+1159457+1,1,
33,33,,,246071424607635+1159626+1,246071424607635+1159458+1,1,
33,33,,,246072524607272+1159631+1,246072524607272+1159460+1,1,
33,33,,,246071024607202+1159631+1,246071024607202+1159464+1,1,
33,33,,,246071024607203+1159631+1,246071024607203+1159464+1,1,
33,33,,,246073124607624+1159631+1,246073124607624+1159464+1,1,
33,33,,,246073124607621+1159635+1,246073124607621+1159468+1,1,
33,33,,,246073124607624+1159635+1,246073124607624+1159468+1,1,
33,33,,,246071424607635+1159636+1,246071424607635+1159469+1,1,
33,33,,,246073124607621+1159637+1,246073124607631+1159491+1,1,
33,33,,,246073124607624+1159649+1,246073124607624+1159498+1,1,
33,33,,,246071024607202+1159655+1,246071024607202+1159502+1,1,
33,33,,,246071024607203+1159655+1,246071024607203+1159502+1,1,
33,33,,,246071024607204+1159657+1,246071024607204+1159502+1,1,
33,33,,,246071024607201+1159664+1,246071024607201+1159512+1,1,
33,33,,,246072524607272+1159664+1,246072524607272+1159512+1,1,
33,33,,,246073124607624+1159668+1,246073124607624+1159516+1,1,
